Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,STACKED_SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,STACKED_SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,STACKED_SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,STACKED_SAE,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,STACKED_SAE,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,STACKED_SAE,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,GAN,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,GAN,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,GAN,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,MOTO,GAN,0.0,ORIGINAL,0.0,5.116666666666666,2.0,0,41
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
libstudy,OP3,GAN,0.0,ORIGINAL,0.0,0.23333333333333334,0.0,0,6
